SearchTerm,PageNum,Rank,Sponsered,ProductURL,Title,ASIN,SalesPrice,ListPrice,RatingsCount,AvgRating
mortin,1,1,False,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1,"Amazon Basic Care Ibuprofen Tablets, 200 mg, Pain Reliever and Fever Reducer, For Arthritis, Toothache, Backache and More, 100 Count",B07VQV74FD,,,"3,484",4.8 out of 5 stars
mortin,1,2,False,https://www.amazon.com/Basic-Care-Strength-Ibuprofen-Tablets/dp/B07796WXL9/ref=sr_1_2,"Amazon Basic Care Children's Ibuprofen Chewable Tablets, 100 mg, Pain Reliever and Fever Reducer, Orange Flavor, For Aches, Pains, Sore Throat, Toothache and Headache Relief, 24 Count",B07796WXL9,,,"4,160",4.8 out of 5 stars
mortin,1,3,False,https://www.amazon.com/Motrin-Ibuprofen-Aches-Relief-Count/dp/B00MNSEU80/ref=sr_1_3,"Motrin IB, Ibuprofen 200mg Tablets for Fever, Muscle Aches, Headache & Back Pain Relief, 100 ct.",B00MNSEU80,,,625,4.8 out of 5 stars
mortin,1,4,False,https://www.amazon.com/EasYeah-Cooling-Patches-Discomfort-Headache/dp/B09416G9CP/ref=sr_1_4,"10 Sheets EasYeah Kids Cooling Patches for Fever Discomfort & Pain Relief, Cooling Relief Fever Reducer, Soothe Headache Pain, Pack of 10",B09416G9CP,"$8
99",$11.99,628,4.4 out of 5 stars
mortin,1,5,False,https://www.amazon.com/Syringe-Dispenser-Design-Liquid-Medicine/dp/B00PXRZRA8/ref=sr_1_5,"Ezy Dose Kids Baby Oral Syringe & Dispenser, True Easy Design for Liquid Medicine, 10 mL/2 TSP, Color Coded",B00PXRZRA8,"$9
34",,"6,068",4.7 out of 5 stars
mortin,1,6,False,https://www.amazon.com/Sambucus-Elderberry-Supplements-Vegetarian-Packaging/dp/B00MJ7VL1O/ref=sr_1_6,"Nature’s Way Sambucus, Immune Support Gummies*, Black Elderberry with Vitamin C, D and Zinc, 60 Gummies",B00MJ7VL1O,"$14
97",$20.99,"106,282",4.8 out of 5 stars
mortin,1,7,False,https://www.amazon.com/Forefoot-Helthrelife-Swelling-Fasciitis-Blisters/dp/B0BKT1J9ZW/ref=sr_1_7,"Forefoot Toe Ice Pack, Helthrelife Ball of Foot Pain Relief Cold&Heat Therapy Gel Foot Ice Pack for Swelling, Plantar Fasciitis, Blisters, Bunions, Hallux Valgus, Sport Injuries, Flat feet",B0BKT1J9ZW,"$26
99",,69,4.4 out of 5 stars
mortin,1,8,False,https://www.amazon.com/Patches-Discomfort-Cooling-Reducer-Headache/dp/B08NZGC8QZ/ref=sr_1_8,"20 Sheets EasYeah Kid Fever Patches for Kids Fever Discomfort & Pain Relief, Cooling Relief Fever Reducer, Soothe Headache Pain, Pack of 20",B08NZGC8QZ,"$14
99",$25.99,"1,003",4.3 out of 5 stars
mortin,1,9,False,https://www.amazon.com/Homergy-Felt-Metatarsal-Pads/dp/B097FBG95J/ref=sr_1_9,"Homergy Metatarsal Pads - Ball of Foot Cushions for Women and Men - Foot Pads for Pain Relief - Forefoot Pads for Metatarsalgia, Mortons Neuroma - 1/4'' Thick - 12 Pieces",B097FBG95J,"$8
85",$10.95,50,3.8 out of 5 stars
mortin,1,10,False,https://www.amazon.com/Cranberry-Urinary-Dietary-Supplement-Softgels/dp/B004RR1FF6/ref=sr_1_10,"AZO Cranberry Urinary Tract Health Supplement, 1 Serving = 1 Glass of Cranberry Juice, Sugar Free Cranberry Pills, Non-GMO 100 Softgels",B004RR1FF6,"$12
07",$13.79,"55,805",4.7 out of 5 stars
mortin,1,11,False,https://www.amazon.com/Formulas-Quercetin-Veggie-Capsules-Supplement/dp/B00S59NYT2/ref=sr_1_11,Amazing Formulas Quercetin 500mg 120 Veggie Capsules Supplement - Non-GMO - Gluten Free - Supports Overall Health & Well Being,B00S59NYT2,"$19
99",$21.99,"26,786",4.7 out of 5 stars
mortin,1,12,False,https://www.amazon.com/Natures-Way-Sambucus-Elderberry-Packaging/dp/B005SAS9CI/ref=sr_1_12,"Nature's Way Sambucus Organic Elderberry Syrup for Kids, Black Elderberry Extract, Great Tasting, Gluten-Free, 4 Fl. Oz",B005SAS9CI,"$15
80",$21.49,"1,185",4.8 out of 5 stars
mortin,1,13,False,https://www.amazon.com/Diamond-Crystal-Kosher-Salt-lbs/dp/B0011BPMUK/ref=sr_1_13,"Diamond Crystal Kosher Salt – Full Flavor, No Additives and Less Sodium - Pure and Natural Since 1886 (Restuarant Pack) - 3 Pound Box",B0011BPMUK,"$12
99",,"16,060",4.8 out of 5 stars
mortin,1,14,False,https://www.amazon.com/Super-EarPlanes%C2%AE-Airplane-Travel-Protection/dp/B077F3YM5H/ref=sr_1_14,New Super Soft Adult EarPlanes® Ear Plugs Airplane Travel Ear Protection 3 Pair,B077F3YM5H,"$18
95",,"3,193",4.6 out of 5 stars
mortin,1,15,False,https://www.amazon.com/Sensitive-Teeth-Nerve-Support-Homeopathic/dp/B00MW56ERO/ref=sr_1_15,"Sensitive Teeth Nerve Support – Homeopathic Solution for Daily Oral Discomfort & Post-Dental Procedures – Natural Aid for Mouth & Teeth Sensitivity, Promotes Better Oral Health – By Bestmade Natural Products",B00MW56ERO,"$23
99",,"2,918",3.9 out of 5 stars
mortin,1,16,False,https://www.amazon.com/Kuli-Vegetable-Nutritionally-Superfood-Smoothies/dp/B00Q5K4QHW/ref=sr_1_16,"Kuli Kuli Moringa Vegetable Powder, 7.4 oz",B00Q5K4QHW,,,"2,359",4.4 out of 5 stars
mortin,1,17,False,https://www.amazon.com/Natures-Way-Elderberry-Supplements-Vegetarian/dp/B07C9K1DJ6/ref=sr_1_17,"Nature’s Way Sambucus Elderberry Gummies for Kids, Immune Support Gummies*, with Vitamin C and Zinc, Delicious Berry Flavor, 60 Gummies",B07C9K1DJ6,"$12
99",$20.99,"15,079",4.8 out of 5 stars
mortin,1,18,False,https://www.amazon.com/GoodSense-Strength-Ibuprofen-Reliever-Reducer/dp/B008Y5VFH0/ref=sr_1_18,"GoodSense Children's Ibuprofen Chewable Tablets, 100 mg, Orange Flavor, Pain Reliever and Fever Reducer, 24 Count",B008Y5VFH0,,,820,4.7 out of 5 stars
mortin,1,19,False,https://www.amazon.com/Watkins-Gourmet-Organic-Popcorn-Seasoning/dp/B09F16KMKM/ref=sr_1_19,"Watkins Gourmet Organic Butter and Salt Popcorn Seasoning, 5.3 oz",B09F16KMKM,"$3
99",,"1,544",4.1 out of 5 stars
mortin,1,20,False,https://www.amazon.com/Quercetin-Vitamin-Selenium-Nutrition-Capsules/dp/B08NZ5ZW5Q/ref=sr_1_20,"(90 Capsules), Quercetin 1,000mg, Vitamin C 1,000mg, Zinc 50mg, Vitamin D3 5,000iu, Selenium, Copper, Acerola, Ginger, Rutin, Bitter Orange, Rose Hips, Echinacea, Immune C Plus, 12 in 1 Immune Support",B08NZ5ZW5Q,"$19
99",$29.99,"3,289",4.6 out of 5 stars
